StudyID,AgeGroups_1,AgeGroups_2,AgeGroups_3,AgeGroups_4,Age,Gender,Gender_4_TEXT,Latin_0,Latin_888,Latin_1,Latin_2,Latin_3,Latin_4,Latin_5,Latin_6,Latin_7,Latin_8,Latin_9,Latin_10,Latin_11,Latin_12,Latin_13,Latin_14,Latin_15,Latin_16,Latin_17,Latin_18,Latin_19,Latin_20,Latin_21,Latin_22,Latin_23,Latin_24,Latin_25,Latin_26,Latin_27,Latin_28,Latin_29,Latin_30,Latin_31,Latin_32,Latin_33,Latin_34,Latin_35,Latin_36,Latin_37,Latin_38,Latin_39,Latin_40,Latin_41,Latin_999,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Race_8,Race_9,Race_10,Race_11,Race_12,Race_13,Race_14,Race_15,Race_16,Race_17,Race_18,Race_19,Race_20,Race_21,Race_22,Race_23,Race_24,Race_999,Immigrant,Refugee,Community,Community_6_TEXT,School,Income,Country,State,COPE_01_Positive,COPE_02_MentalDis,COPE_03_Venting,COPE_04_InstrumentalSup,COPE_05_Active,COPE_06_Denial,COPE_07_Religious,COPE_08_Humor,COPE_09_BehavioralDis,COPE_10_Restraint,COPE_11_EmotionalSup,COPE_12_Substance,COPE_13_Acceptance,COPE_14_InstrumentalSup,COPE_15_Suppression,COPE_16_MentalDis,COPE_17_Venting,COPE_18_Religious,COPE_19_Planning,COPE_20_Humor,COPE_21_Acceptance,COPE_22_Restraint,COPE_23_EmotionalSup,COPE_24_BehavioralDis,COPE_25_Active,COPE_26_Substance,COPE_27_Denial,COPE_28_Venting,COPE_29_Positive,COPE_30_InstrumentalSup,COPE_31_MentalDis,COPE_32_Planning,COPE_33_Suppression,COPE_34_EmotionalSup,COPE_35_Substance,COPE_36_Humor,COPE_37_BehavioralDis,COPE_38_Positive,COPE_39_Planning,COPE_40_Denial,COPE_41_Restraint,COPE_42_Suppression,COPE_43_MentalDis,Instructed_1,COPE_44_Acceptance,COPE_45_InstrumentalSup,COPE_46_Venting,COPE_47_Active,COPE_48_Religious,COPE_49_Restraint,COPE_50_Humor,COPE_51_BehavioralDis,COPE_52_EmotionalSup,COPE_53_Substance,COPE_54_Acceptance,COPE_55_Suppression,COPE_56_Planning,COPE_57_Denial,COPE_58_Active,COPE_59_Positive,COPE_60_Religious,CFS_01_JB,CFS_02_JB,CFS_03_ST,CFS_04_JB,CFS_05_ST,CFS_06_JB,CFS_07_JB,CFS_08_ST,Instructed_2,CFS_09_JB,CFS_10_ST,CFS_11_JB,CFS_12_ST,CFS_13_JB,COPE_Positive,COPE_MentalDis,COPE_Venting,COPE_InstrumentalSup,COPE_Active,COPE_Denial,COPE_Religious,COPE_Humor,COPE_BehavioralDis,COPE_Restraint,COPE_EmotionalSup,COPE_Substance,COPE_Acceptance,COPE_Suppression,COPE_Planning,CFS,CFS_SecondaryTrauma,CFS_JobBurnout,CFS_ln,CFS_SecondaryTrauma_ln,CFS_JobBurnout_ln
31, , ,1, ,64,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,4, ,8,3,187,22,2,4,2,3,3,2,1,2,2,4,3,3,4,3,4,3,2,1,2,3,3,4,3,3,3,2,1,3,3,3,1,3,2,2,2,3,2,1,4,1,4,2,4,4,4,3,2,3,1,2,3,2,3,2,4,3,4,3,3,3,1,9,9,4,3,1,9,8,2,11,10,1,8,1,7,9,12,9,12,12,7,4,11,9,14,11,9,15,11,14,5.53846153846154,1.8,7.875,1.71171676155452,.587786664902119,2.0636931847117
32, , ,1, ,45,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,7,5,9, ,4,2,2,3,4,1,1,3,2,3,4,2,4,3,2,1,3,1,4,3,4,2,4,1,4,1,1,3,2,3,1,3,2,4,1,3,1,3,4,1,4,3,1,4,4,2,3,4,1,3,1,1,4,2,4,1,4,1,4,4,1,2,6,1,1,1,4,6,3,11,5,1,2,2,1,13,5,11,11,16,4,4,10,5,12,16,6,16,8,14,2.69230769230769,1.6,3.375,.990398704027877,.470003629245736,1.21639532432449
33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34, , ,1, ,31,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,7,6,187,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35, ,1,1, ,40,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1,0,3, ,8,5,187,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36, , ,1, ,31,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,4, ,8,6,187,23,3,4,2,4,3,1,1,2,1,4,4,1,3,3,2,2,4,1,4,1,4,2,4,1,3,1,1,3,2,4,1,3,2,4,1,1,1,2,3,1,2,3,1,4,4,4,3,2,1,2,1,1,4,1,3,2,3,1,4,4,1,5,6,1,5,1,5,6,2,11,3,1,1,1,1,11,8,12,15,12,4,4,5,4,10,16,4,14,9,12,2.92307692307692,1.2,4,1.07263680226485,.182321556793955,1.38629436111989
37, , ,1, ,35,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,0,3, ,8,5,187,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38,1,1,1,1,32,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,7,2,187,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39, , , ,1,56,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1,0,3, ,6,1,187,33,1,3,2,2,2,1,2,2,2,3,2,1,2,2,2,1,4,1,2,2,2,2,2,2,3,1,1,2,2,2,4,2,2,2,1,2,2,3,2,1,2,2,1,2,2,2,3,2,2,2,2,2,2,1,2,1,3,1,2,4,1,5,1,1,2,1,1,3,1,11,2,1,3,3,2,10,9,11,8,9,4,6,8,8,9,8,4,8,7,9,2,1.4,2.375,.693147180559945,.336472236621213,.864997437486605
40, ,1, , ,40,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,6,2,84, ,4,2,2,4,4,2,2,3,3,3,4,1,2,4,3,3,2,2,3,3,3,2,4,2,4,1,2,4,4,4,3,4,3,4,1,2,2,4,4,2,2,3,2,2,3,4,3,3,2,3,3,2,4,1,2,3,4,2,3,3,2,6,6,5,6,4,5,5,5,11,4,5,5,4,4,15,10,11,16,14,8,8,11,9,10,16,4,10,12,16,4.92307692307692,4.6,5.125,1.59393372589814,1.52605630349505,1.63413052502447
41, , ,1, ,36,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,4, ,8,6,187,39,3,4,4,4,3,1,2,2,1,2,4,2,3,3,4,2,4,2,3,3,1,2,4,1,4,1,1,3,3,3,3,4,3,4,1,3,2,3,4,1,3,3,3,4,3,4,3,3,2,3,3,1,4,2,4,3,4,3,3,4,2,3,3,5,2,2,2,2,4,11,1,1,2,1,1,13,12,14,14,13,6,8,11,5,10,16,6,11,13,16,2.23076923076923,2.6,2,.802346472524937,.955511445027436,.693147180559945
42, , ,1, ,62,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,8,4,187,5,3,4,2,2,3,1,1,3,1,2,2,3,3,2,1,2,2,1,4,4,3,2,2,3,3,3,2,2,3,2,1,4,2,2,2,3,3,3,3,1,2,2,2,4,3,3,2,3,1,2,3,1,2,2,3,3,4,2,3,4,1,9,7,3,4,1,2,5,2,11,5,1,6,1,4,13,9,8,9,12,6,4,13,8,8,8,10,12,8,15,3.84615384615385,1.6,5.25,1.34707364796661,.470003629245736,1.65822807660353
43, , ,1,1,50,4,None of the above. Nonbinary is the closest but it isn't a phrase I relate to - I'm 50 and this feels very much a 2020/youth phrase.,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,0,0,3, ,8,5,185, ,3,3,2,3,3,1,1,2,1,4,4,1,2,4,3,1,1,1,4,2,2,4,4,1,3,1,1,3,4,4,1,4,3,3,1,2,1,3,3,1,4,3,2,4,3,4,2,2,1,3,2,1,4,1,2,3,3,2,4,4,1,2,3,1,2,1,1,7,2,11,2,1,2,1,3,14,7,8,15,12,5,4,8,4,15,15,4,9,12,14,2.15384615384615,1.2,2.75,.767255152713667,.182321556793955,1.01160091167848
44, , ,1, ,51,1, , , ,1, , , , , , , , , ,1, , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , ,1,1, ,1,0,2, ,5,4,187,49,4,2,3,3,3,1,2,2,1,4,4,1,3,4,3,1,3,4,4,2,4,4,4,1,4,1,1,4,3,4,2,4,3,2,1,1,1,3,4,1,3,3,1,1,4,2,3,3,4,3,1,1,4,1,3,3,4,1,3,4,4,3,2,1,1,1,1,5,3,11,4,1,2,1,1,14,6,13,13,13,4,14,6,4,14,14,4,14,12,16,2,1.4,2.375,.693147180559945,.336472236621213,.864997437486605
45, ,1,1, ,30,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1,0,4, ,9,5,187,14,3,3,3,2,4,2,3,2,2,2,4,1,2,4,2,1,4,2,4,1,1,1,3,1,2,1,1,3,2,4,3,4,3,3,1,1,1,2,3,1,2,3,3,4,2,4,4,4,2,2,1,1,4,1,1,2,4,1,4,3,3,10,8,1,1,1,2,2,5,11,2,3,2,1,1,10,10,14,14,14,5,10,5,5,7,14,4,6,10,15,3,2.2,3.5,1.09861228866811,.78845736036427,1.25276296849537
46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47, , ,1, ,63,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,999,3, ,8,4,65, ,4,2,1,2,4,1,1,1,1,4,4,1,4,4,2,2,3,1,4,1,4,3,4,1,2,1,1,2,4,3,1,4,4,4,1,1,1,4,4,1,3,4,2,4,4,4,2,3,1,2,1,1,4,1,4,3,4,1,4,4,1,2,2,1,1,1,1,2,1,11,1,1,1,1,1,16,7,8,13,13,4,4,4,4,12,16,4,16,13,16,1.23076923076923,1,1.375,.207639364778245,0,.318453731118535
48, ,1,1, ,41,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1,0,1, ,4,6,187,20,3,4,4,4,4,1,2,3,1,3,4,1,4,4,3,3,4,2,4,4,3,4,4,1,4,1,1,4,3,4,1,4,3,3,1,4,1,3,3,1,3,4,4,4,3,4,2,4,1,3,2,1,4,1,3,3,4,1,3,3,1,5,5,1,1,1,3,11,3,11,3,1,1,2,1,12,12,14,16,15,4,6,13,4,13,15,4,13,13,15,2.25,1.6,2.71428571428571,.810930216216329,.470003629245736,.998528830111127
49, , ,1, ,63,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,4, ,8,7,187,33,4,4,4,4,4,4,1,2,1,2,4,1,2,3,3,1,2,1,4,1,2,2,4,1,2,1,1,3,3,4,1,4,3,4,1,2,1,3,3,1,3,3,1,4,3,4,3,4,1,2,2,1,4,1,2,3,3,1,4,4,1,1,1,2,1,1,2,2,1,11,2,1,1,1,1,14,7,12,15,14,7,4,7,4,9,16,4,9,12,14,1.30769230769231,1.2,1.375,.268263986594679,.182321556793955,.318453731118535
50, , ,1, ,34,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,8,6,31, ,4,3,3,3,3,1,2,4,1,2,3,1,3,2,3,3,1,2,4,3,3,3,3,1,4,1,1,3,3,3,4,3,3,3,1,3,1,3,3,1,2,3,3,4,3,4,2,3,1,2,3,2,3,1,2,3,4,1,4,4,2,2,2,5,2,3,5,6,7,11,7,6,2,2,3,14,13,9,12,14,4,7,13,5,9,12,4,11,12,13,4,4.6,3.625,1.38629436111989,1.52605630349505,1.28785428830664
51,1,1,1, ,30,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,1, ,8,3,187,49,2,3,2,3,3,1,2,2,1,4,3,1,3,3,2,2,2,2,2,2,3,4,3,2,3,1,2,3,3,4,3,3,3,3,1,2,2,3,4,2,4,3,3,5,3,3,2,4,2,3,2,2,3,1,3,3,4,2,3,3,2,7,6,4,4,3,5,7,2,11,5,2,1,1,4,11,11,9,13,13,7,8,8,7,15,12,4,12,11,14,3.92307692307692,2.4,4.875,1.36687627526279,.8754687373539,1.58412010444981
52, , ,1,1,63,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,8,5,187,16,3,4,3,4,3,2,1,4,2,1,2,1,4,4,2,1,4,1,4,3,3,2,4,2,3,1,1,3,1,3,2,2,3,1,1,3,2,2,3,1,1,2,4,4,4,1,3,2,1,3,2,2,2,1,2,1,3,1,3,4,1,11,11,1,3,1,9,10,11,11,1,1,10,1,3,10,11,13,12,11,5,4,12,8,7,9,4,13,8,10,4,1,6,1.38629436111989,0,1.79175946922805
53, , ,1,1,42,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1,0,2, ,8,999,187,39,4,2,3,2,3,1,2,2,1,3,3,1,2,3,3,2,4,2,3,1,2,2,3,1,2,1,1,3,3,3,2,4,2,2,1,1,1,4,4,1,2,3,2,5,4,2,2,3,1,2,1,2,3,1,1,1,2,1,3,4,1,1,2,1,1,1,1,2,1,21,1,1,1,1,1,15,8,12,10,11,4,6,5,5,9,11,4,9,9,14,1.15384615384615,1,1.25,.143100843640673,0,.22314355131421
54,1, , , ,59,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,8,2,187,20,4,4,2,3,4,1,1,1,1,4,4,2,4,4,4,1,4,1,4,1,1,4,1,1,5,1,1,3,4,4,1,4,1,2,2,1,1,4,4,1,4,4,2,4,4,2,2,4,1,4,1,2,4,1,4,2,4,1,4,4,1,8,8,6,8,1,8,8,8,21,9,1,4,1,1,16,8,11,13,12,4,4,4,5,16,11,6,13,11,16,5.46153846153846,3.4,6.75,1.69773051957978,1.22377543162212,1.90954250488444
55, , ,1, ,44,1, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,1, , ,1,0,4, ,9,7,187,31,2,2,2,3,3,1,1,1,1,2,3,3,3,3,2,2,3,1,3,3,3,3,3,1,3,3,1,3,3,3,1,3,3,3,3,2,2,3,3,2,3,3,3,4,2,3,3,3,1,2,2,2,3,3,2,2,3,1,3,3,1,7,7,3,7,3,8,8,8,11,5,1,2,2,6,11,8,11,12,12,5,4,8,6,10,12,12,10,10,12,5.15384615384615,3.4,6.25,1.63974326192943,1.22377543162212,1.83258146374831
56, , ,1, ,48,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,8,3,187,49,4,4,3,3,4,1,2,2,1,3,4,2,3,4,1,2,4,2,4,2,3,3,4,1,3,1,1,2,2,4,4,4,3,2,2,2,1,3,4,1,4,3,2,4,4,4,4,4,2,3,2,1,4,2,4,3,4,1,4,4,2,7,2,1,2,1,6,4,7,11,7,1,3,1,2,13,12,13,15,15,4,8,8,4,13,14,7,14,10,16,3.38461538461538,2.2,4.125,1.21924027645672,.78845736036427,1.41706601978664
57, , ,1, ,54,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,6,7,187,5,4,3,3,4,3,1,2,1,1,3,4,2,1,3,2,2,4,2,3,2,3,3,4,2,4,1,1,3,3,3,2,3,4,4,1,1,3,3,4,1,4,4,2,4,3,4,3,4,2,4,1,3,4,1,2,3,4,1,4,4,3,1,6,7,1,7,3,3,6,11,1,1,7,2,1,14,9,13,14,15,4,9,5,9,14,16,5,9,13,14,3.53846153846154,4.6,2.875,1.26369203902756,1.52605630349505,1.05605267424931
58, , ,1,1,49,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,1, ,8,5,187,22,4,1,2,2,3,1,3,3,2,2,4,1,4,4,1,2,3,4,4,3,4,4,4,1,3,1,1,3,4,3,1,4,4,4,1,2,3,4,4,1,3,4,2,4,4,2,3,1,4,3,1,3,4,1,3,3,4,1,4,4,4,4,5,6,2,2,1,6,4,11,1,1,3,3,2,16,6,11,11,11,4,15,9,9,12,16,4,15,12,16,3.07692307692308,3.2,3,1.1239300966524,1.16315080980568,1.09861228866811
59, , ,1, ,54,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,8,7,122, ,4,1,2,3,2,1,1,1,2,2,3,1,3,3,3,1,2,1,4,1,2,2,3,1,4,1,1,2,1,3,2,2,2,2,1,1,1,2,2,1,2,2,1,1,4,3,2,4,1,3,1,3,3,1,3,3,3,3,3,3,1,1,1,4,1,2,1,1,1,11,1,1,1,1,1,10,5,8,12,13,6,4,4,7,9,11,4,12,10,9,1.30769230769231,1.8,1,.268263986594679,.587786664902119,0
60,1,1,1,1,50,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,1, ,8,5,187,21,3,4,3,2,4,1,1,2,1,2,3,1,3,3,2,1,2,1,4,3,2,2,2,1,2,1,1,3,2,2,1,4,1,1,1,2,1,2,3,1,1,2,1,4,3,1,2,2,1,1,2,1,3,1,3,1,3,1,3,3,1,5,2,4,2,2,5,7,5,11,4,5,5,2,2,10,7,10,8,11,4,4,9,4,6,9,4,11,6,14,3.84615384615385,3.6,4,1.34707364796661,1.28093384546206,1.38629436111989
61,1, ,1,1,36,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,4, ,8,6,187,36,1,4,3,3,2,1,1,1,1,4,3,3,3,2,2,1,4,1,2,1,1,2,4,2,2,3,1,4,1,3,1,2,2,2,3,1,2,1,2,1,4,1,2,4,2,1,2,4,1,3,1,2,3,3,1,1,3,2,3,1,1,10,8,1,5,1,5,8,3,11,7,1,7,1,8,4,8,13,9,11,5,4,4,7,13,12,12,7,6,9,5,1.4,7.25,1.6094379124341,.336472236621213,1.98100146886658
62, , , ,1,43,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,7,7,187,34,4,3,2,3,3,1,1,5,1,2,3,1,3,3,3,4,3,1,4,4,2,2,3,1,3,1,1,3,3,3,1,4,2,2,1,4,1,4,3,1,2,3,3,5,3,3,3,3,2,2,4,1,3,1,2,3,4,1,3,4,1,10,10,1,5,1,1,3,1,11,6,1,5,1,5,15,11,11,12,12,4,5,12,4,8,11,4,10,11,15,3.84615384615385,1,5.625,1.34707364796661,0,1.72722094809048
63, ,1,1,1,40,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,6,3,187,34,3,2,2,3,3,1,1,1,1,2,4,1,2,3,1,2,4,1,2,1,2,2,3,1,2,1,1,3,1,2,2,2,2,3,1,1,1,2,2,1,2,1,1,4,3,1,3,1,1,1,1,1,4,1,4,2,1,1,3,3,1,1,3,2,1,1,1,2,2,12,1,1,4,1,1,9,7,12,9,9,4,4,4,4,7,14,4,11,6,7,1.61538461538462,1.4,1.75,.479573080261886,.336472236621213,.559615787935423
64,1,1,1, ,36,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1,0,1, ,8,3,187,27,4,4,4,2,4,1,1,2,1,3,4,2,3,3,1,1,4,1,4,2,3,3,4,1,4,1,1,4,3,4,1,4,2,2,1,1,1,3,4,1,3,3,1,4,3,3,4,4,1,2,1,1,4,1,2,2,3,1,3,4,1,3,3,1,2,1,2,2,1,11,1,1,2,1,1,14,7,16,12,15,4,4,6,4,11,14,5,11,8,15,1.61538461538462,1,2,.479573080261886,0,.693147180559945
65, , ,1, ,35,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,1, ,8,7,187,22,4,4,2,1,4,1,1,2,1,3,2,2,3,3,2,1,3,1,4,2,4,2,2,1,4,1,1,3,3,3,1,4,3,2,1,2,1,3,4,1,3,3,1,4,4,2,1,3,1,2,1,1,2,1,2,3,4,2,4,4,1,2,2,1,1,1,3,7,1,11,1,1,1,1,1,14,7,9,9,15,5,4,7,4,10,8,5,13,11,16,1.76923076923077,1,2.25,.570544858467613,0,.810930216216329
66, , ,1, ,53,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,8,7,187,33,4,2,3,2,4,1,3,3,1,4,4,1,4,4,4,1,4,1,4,3,4,4,3,1,3,1,1,4,3,4,1,4,3,2,1,3,1,4,4,1,4,3,1,5,4,4,2,4,3,4,1,1,4,1,4,3,4,1,4,4,1,1,3,1,1,1,1,3,2,11,1,1,1,1,1,15,5,13,14,15,4,8,10,4,16,13,4,16,13,16,1.38461538461538,1.2,1.5,.325422400434628,.182321556793955,.405465108108164
67, , ,1,1,59,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1,999,2, ,8,999,65, ,4,3,4,4,4,1,1,1,2,3,4,1,4,4,2,2,4,2,3,1,3,1,4,2,4,1,2,3,2,4,1,3,4,4,1,1,2,3,4,1,2,3,1,4,4,3,3,2,2,2,1,1,4,1,3,3,4,1,3,4,2,2,6,3,1,1,1,2,8,11,2,2,4,1,2,13,7,14,15,13,5,7,4,7,8,16,4,14,12,14,2.69230769230769,3,2.5,.990398704027877,1.09861228866811,.916290731874155
68, , ,1, ,57,1, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,1, ,8,3,82, ,4,2,4,3,4,1,4,4,1,2,4,2,1,4,3,1,4,2,4,4,4,3,4,1,4,1,1,4,4,4,1,4,3,4,1,4,1,4,4,1,2,4,1,4,4,3,3,3,1,2,3,1,4,1,3,2,4,1,3,4,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,16,5,15,14,14,4,8,15,4,9,16,5,12,12,16,1,1,1,0,0,0
69, , ,1, ,31,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,1,0,4, ,8,6,9, ,3,4,2,2,3,1,2,2,2,2,4,2,3,3,2,2,3,2,2,1,2,2,4,2,4,1,2,4,4,4,3,4,4,3,2,1,2,4,4,1,3,2,3,4,3,4,3,4,1,2,2,2,4,1,3,3,3,2,3,4,2,7,10,1,6,1,4,3,3,11,4,3,2,2,3,15,12,12,13,14,6,7,6,8,9,15,6,11,11,15,3.76923076923077,2,4.875,1.32687094064909,.693147180559945,1.58412010444981
70,1,1,1, ,33,1, , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,0,1, ,7,3,187,40,4,4,3,2,4,2,4,2,2,2,3,1,3,3,3,3,3,4,4,2,3,3,4,4,4,1,2,3,3,4,3,4,4,4,1,2,2,4,4,2,4,3,3,4,3,4,3,4,4,4,2,2,3,1,4,3,4,2,4,4,4,3,1,2,1,5,3,7,3,11,2,1,2,2,1,15,13,12,13,16,8,16,8,10,13,14,4,13,13,16,2.53846153846154,2.6,2.5,.931558204004943,.955511445027436,.916290731874155
71,1,1,1, ,38,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,8,3,187,14,4,2,2,3,4,1,1,3,1,3,4,1,4,4,2,2,2,1,4,3,4,3,4,1,4,1,1,4,4,4,1,4,3,4,1,2,1,4,4,1,1,2,2,4,4,4,2,1,1,1,1,1,4,1,1,2,4,1,4,4,1,1,7,1,6,1,2,5,1,11,1,1,3,1,1,16,7,10,15,13,4,4,9,4,8,16,4,13,9,16,2.38461538461538,1,3.25,.86903784702361,0,1.17865499634165
