StudyID,AgeGroups_1,AgeGroups_2,AgeGroups_3,AgeGroups_4,Age,Gender,Gender_4_TEXT,Latin_0,Latin_888,Latin_1,Latin_2,Latin_3,Latin_4,Latin_5,Latin_6,Latin_7,Latin_8,Latin_9,Latin_10,Latin_11,Latin_12,Latin_13,Latin_14,Latin_15,Latin_16,Latin_17,Latin_18,Latin_19,Latin_20,Latin_21,Latin_22,Latin_23,Latin_24,Latin_25,Latin_26,Latin_27,Latin_28,Latin_29,Latin_30,Latin_31,Latin_32,Latin_33,Latin_34,Latin_35,Latin_36,Latin_37,Latin_38,Latin_39,Latin_40,Latin_41,Latin_999,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Race_8,Race_9,Race_10,Race_11,Race_12,Race_13,Race_14,Race_15,Race_16,Race_17,Race_18,Race_19,Race_20,Race_21,Race_22,Race_23,Race_24,Race_999,Immigrant,Refugee,Community,Community_6_TEXT,School,Income,Country,State,COPE_01_Positive,COPE_02_MentalDis,COPE_03_Venting,COPE_04_InstrumentalSup,COPE_05_Active,COPE_06_Denial,COPE_07_Religious,COPE_08_Humor,COPE_09_BehavioralDis,COPE_10_Restraint,COPE_11_EmotionalSup,COPE_12_Substance,COPE_13_Acceptance,COPE_14_InstrumentalSup,COPE_15_Suppression,COPE_16_MentalDis,COPE_17_Venting,COPE_18_Religious,COPE_19_Planning,COPE_20_Humor,COPE_21_Acceptance,COPE_22_Restraint,COPE_23_EmotionalSup,COPE_24_BehavioralDis,COPE_25_Active,COPE_26_Substance,COPE_27_Denial,COPE_28_Venting,COPE_29_Positive,COPE_30_InstrumentalSup,COPE_31_MentalDis,COPE_32_Planning,COPE_33_Suppression,COPE_34_EmotionalSup,COPE_35_Substance,COPE_36_Humor,COPE_37_BehavioralDis,COPE_38_Positive,COPE_39_Planning,COPE_40_Denial,COPE_41_Restraint,COPE_42_Suppression,COPE_43_MentalDis,Instructed_1,COPE_44_Acceptance,COPE_45_InstrumentalSup,COPE_46_Venting,COPE_47_Active,COPE_48_Religious,COPE_49_Restraint,COPE_50_Humor,COPE_51_BehavioralDis,COPE_52_EmotionalSup,COPE_53_Substance,COPE_54_Acceptance,COPE_55_Suppression,COPE_56_Planning,COPE_57_Denial,COPE_58_Active,COPE_59_Positive,COPE_60_Religious,CFS_01_JB,CFS_02_JB,CFS_03_ST,CFS_04_JB,CFS_05_ST,CFS_06_JB,CFS_07_JB,CFS_08_ST,Instructed_2,CFS_09_JB,CFS_10_ST,CFS_11_JB,CFS_12_ST,CFS_13_JB,COPE_Positive,COPE_MentalDis,COPE_Venting,COPE_InstrumentalSup,COPE_Active,COPE_Denial,COPE_Religious,COPE_Humor,COPE_BehavioralDis,COPE_Restraint,COPE_EmotionalSup,COPE_Substance,COPE_Acceptance,COPE_Suppression,COPE_Planning,CFS,CFS_SecondaryTrauma,CFS_JobBurnout,CFS_ln,CFS_SecondaryTrauma_ln,CFS_JobBurnout_ln
11, , , , ,57,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,1, ,7,6,31, ,2,2,4,4,3,2,2,1,1,4,4,1,3,4,2,2,3,3,2,1,2,4,4,2,2,1,2,4,2,2,1,3,1,3,1,1,2,2,3,2,4,2,3,4,2,2,4,1,2,4,1,2,4,1,2,2,2,2,3,2,4,10,8,1,2,1,3,2,1,11,1,1,6,1,7,8,8,15,12,9,8,11,4,7,16,15,4,9,7,11,3.38461538461538,1,4.875,1.21924027645672,0,1.58412010444981
12,1, ,1, ,41,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,7,999,187,34,4,3,3,3,3,1,2,4,1,3,4,3,3,3,3,3,3,2,3,3,3,3,4,1,3,2,1,3,4,4,2,3,2,3,2,3,2,4,4,1,2,3,3,4,4,4,3,3,2,3,2,2,4,2,2,2,3,1,3,4,2,6,8,2,5,2,8,8,8,11,4,5,3,2,1,16,11,12,14,12,4,8,12,6,11,15,9,12,10,13,4.76923076923077,3.8,5.375,1.56218502758355,1.33500106673234,1.68175857401373
13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, , ,1, ,30,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,8,4,187,10,4,2,2,4,4,1,4,2,2,2,4,1,3,3,2,2,3,4,3,2,4,3,4,1,3,1,1,3,4,4,1,3,4,4,1,2,2,3,3,1,3,1,2,4,4,4,3,2,4,2,2,1,4,1,2,2,3,1,4,4,4,4,2,6,1,7,3,3,6,11,2,1,3,1,1,15,7,11,15,13,4,16,8,6,10,16,4,13,9,12,3.07692307692308,4.2,2.375,1.1239300966524,1.43508452528932,.864997437486605
16, , , ,1,53,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,8,6,187,31,4,2,2,4,4,2,3,2,1,3,4,1,3,4,2,1,4,3,4,2,3,4,4,1,4,1,1,3,3,4,1,4,4,4,1,3,3,4,4,1,4,4,3,5,4,4,2,1,3,3,2,2,4,1,3,4,4,1,4,4,4, , , , , , , , , , , , , , ,15,7,11,16,13,5,13,9,7,14,16,4,13,14,16, , , , , , 
17, , ,1, ,29,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,8,5,123, ,4,3,3,3,4,1,5,3,1,3,4,1,4,4,3,1,3,5,4,1,4,3,4,1,4,1,1,4,3,3,1,4,3,2,1,1,1,3,4,1,2,2,1,3,4,1,3,3,5,3,1,1,4,1,3,3,3,1,3,4,5,2,2,4,1,1,4,5,3,15,3,3,3,1,1,14,6,13,11,14,4, ,6,4,11,14,4,15,11,15,2.53846153846154,2.4,2.625,.931558204004943,.8754687373539,.965080896043587
18, ,1,1, ,36,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1,0,3, ,8,7,31, ,3,2,2,3,3,1,1,3,1,3,3,1,2,2,1,2,2,1,3,2,2,2,3,1,2,1,1,3,2,2,2,3,2,2,1,2,1,2,3,1,2,2,1,4,2,2,2,2,1,2,2,2,3,1,2,2,2,1,3,2,1,3,2,7,3,1,3,3,7,11,2,6,7,2,2,9,7,9,9,10,4,4,9,5,9,11,4,8,7,11,3.69230769230769,4.6,3.125,1.30625165344635,1.52605630349505,1.13943428318836
19, , ,1,1,63,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,8,6,187,5,4,2,3,1,4,1,1,1,1,4,3,1,4,2,3,2,3,1,3,1,4,3,3,1,2,1,1,4,2,1,2,3,2,2,1,1,1,3,4,1,4,3,1,5,4,1,5,3,1,1,1,2,2,1,4,2,4,1,4,4,1,3,1,3,1,3,4,5,3,11,2,1,2,2,1,13,7,10,5,13,4,4,4,5,12,10,4,16,10,14,2.38461538461538,2.4,2.375,.86903784702361,.8754687373539,.864997437486605
20, , ,1, ,32,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,4, ,8,6,187,3,4,1,3,4,4,1,3,2,1,3,4,1,3,4,2,1,4,3,3,1,4,3,4,1,3,1,1,3,2,2,2,4,4,4,1,1,2,4,4,1,1,3,3,4,4,3,3,1,3,3,1,1,4,1,3,3,4,1,4,4,4,8,10,8,10,3,1,6,1,11,8,1,7,7,8,14,7,13,13,12,4,13,5,5,10,16,4,14,12,16,6,4,7.25,1.79175946922805,1.38629436111989,1.98100146886658
